subAccountNumber,customerReference,businessName,propertyName,propertyNumber,outletTelephoneNumber,businessTypeDescription,faxNumber,email,customerWebSite,password,venueId,contactTitle,contactForename,contactSurname,contactPosition,contactTelephoneNumber,contactMobileNumber,contactEmailAddress,newContactId,updatedContactTitle,updatedContactForename,updatedContactSurname,updatedContactPosition,updatedContactTelephoneNumber,updatedContactMobileNumber,updatedContactEmailAddress,numberContacts,numberAgreements,updatedOutletTelephoneNumber,updatedBusinessName
181241200004,ATS Euromaster - Aston - A331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200135,ATS Euromaster - Aberdare - A701,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200307,ATS Euromaster - Aberdeen - A614,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200018,ATS Euromaster - Abergavenny - A702,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200237,ATS Euromaster - Accrington - A534,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200097,ATS Euromaster - Aigburth - A506,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200132,ATS Euromaster - Aldershot - A162,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200016,ATS Euromaster - Aldridge - A377,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200114,ATS Euromaster - Altrincham - A528,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200319,ATS Euromaster - Andover - A050,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200095,ATS Euromaster - Ashford - A150,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200146,ATS Euromaster - Aston - A331,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200268,ATS Euromaster - ASTON Head Office - A999,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200123,ATS Euromaster - Attleborough - A259,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200192,ATS Euromaster - Avonmouth - A832,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200343,ATS Euromaster - Aylesbury - A258,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200350,ATS Euromaster - Aylesford Retail - A148,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200182,ATS Euromaster - Aylesford Truck - A149,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200304,ATS Euromaster - Bamber Bridge Truck - A596,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200131,ATS Euromaster - Banbury - A347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200322,ATS Euromaster - Banff - A633,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200282,ATS Euromaster - Bangor - A747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200277,ATS Euromaster - Barnsley - A434,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200164,ATS Euromaster - Barnstaple - A802,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200143,ATS Euromaster - Barrhead - A632,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200035,ATS Euromaster - Barrow - A580,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200351,ATS Euromaster - Basildon - A264,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200126,ATS Euromaster - Basingstoke - A011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
181241200309,ATS Euromaster - Bathgate - A624,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
